,x,y,theta,speed
9427,254.766,1796.8,0.0,30
9428,254.94299999999998,1796.39,0.0,30
9429,255.294,1795.58,0.0,30
9430,255.645,1794.77,0.0,30
9431,255.82,1794.36,0.0,30
9432,255.99599999999998,1793.96,0.0,30
9433,256.17,1793.55,0.0,30
9434,256.519,1792.74,0.0,30
9435,256.693,1792.33,0.0,30
9436,256.868,1791.93,0.0,30
9437,257.215,1791.11,0.0,30
9438,257.389,1790.71,0.0,30
9439,257.562,1790.3,0.0,30
9440,257.736,1789.89,0.0,30
9441,258.082,1789.08,0.0,30
9442,258.254,1788.67,0.0,30
9443,258.427,1788.27,0.0,30
9444,258.77299999999997,1787.45,0.0,30
9445,258.94599999999997,1787.05,0.0,30
9446,259.119,1786.64,0.0,30
9447,259.291,1786.23,0.0,30
9448,259.637,1785.42,0.0,30
9449,259.809,1785.01,0.0,30
9450,259.982,1784.6,0.0,30
9451,260.154,1784.19,0.0,30
9452,260.498,1783.38,0.0,30
9453,260.67,1782.97,0.0,30
9454,260.842,1782.57,0.0,30
9455,261.185,1781.75,0.0,30
9456,261.357,1781.34,0.0,30
9457,261.528,1780.94,0.0,30
9458,261.7,1780.53,0.0,30
9459,262.04200000000003,1779.72,0.0,30
9460,262.384,1778.9,0.0,30
9461,262.555,1778.49,0.0,30
9462,262.72700000000003,1778.08,0.0,30
9463,263.07,1777.27,0.0,30
9464,263.24,1776.86,0.0,30
9465,263.411,1776.46,0.0,30
9466,263.58299999999997,1776.05,0.0,30
9467,263.925,1775.23,0.0,30
9468,264.096,1774.83,0.0,30
9469,264.267,1774.42,0.0,30
9470,264.61,1773.61,0.0,30
9471,264.781,1773.2,0.0,30
9472,264.952,1772.79,0.0,30
9473,265.123,1772.38,0.0,30
9474,265.466,1771.57,0.0,30
9475,265.63599999999997,1771.16,0.0,30
9476,265.808,1770.75,0.0,30
9477,266.15,1769.94,0.0,30
9478,266.32099999999997,1769.53,0.0,30
9479,266.493,1769.12,0.0,30
9480,266.664,1768.71,0.0,30
9481,267.005,1767.89,0.0,30
9482,267.175,1767.49,0.0,30
9483,267.345,1767.08,0.0,30
9484,267.685,1766.26,0.0,30
9485,267.85400000000004,1765.86,0.0,30
9486,268.024,1765.45,0.0,30
9487,268.362,1764.63,0.0,30
9488,268.532,1764.22,0.0,30
9489,268.869,1763.41,0.0,30
9490,269.039,1763.0,0.0,30
9491,269.376,1762.18,0.0,30
9492,269.54400000000004,1761.77,0.0,30
9493,269.712,1761.36,0.0,30
9494,269.881,1760.95,0.0,30
9495,270.216,1760.13,0.0,30
9496,270.385,1759.72,0.0,30
9497,270.552,1759.32,0.0,30
9498,270.887,1758.5,0.0,30
9499,271.05400000000003,1758.09,0.0,30
9500,271.22,1757.68,0.0,50
9501,271.387,1757.27,0.0,50
9502,271.72,1756.45,0.0,50
9503,271.887,1756.04,0.0,50
9504,272.052,1755.63,0.0,50
9505,272.218,1755.22,0.0,50
9506,272.548,1754.4,0.0,50
9507,272.714,1753.99,0.0,50
9508,272.878,1753.58,0.0,50
9509,273.209,1752.76,0.0,50
9510,273.374,1752.35,0.0,50
9511,273.538,1751.94,0.0,50
9512,273.868,1751.12,0.0,50
9513,274.033,1750.71,0.0,50
9514,274.197,1750.3,0.0,50
9515,274.526,1749.47,0.0,50
9516,274.689,1749.06,0.0,50
9517,274.853,1748.65,0.0,50
9518,275.01599999999996,1748.24,0.0,50
9519,275.342,1747.42,0.0,50
9520,275.668,1746.6,0.0,50
9521,275.83099999999996,1746.19,0.0,50
9522,275.994,1745.78,0.0,50
9523,276.32,1744.95,0.0,50
9524,276.482,1744.54,0.0,50
9525,276.644,1744.13,0.0,50
9526,276.969,1743.31,0.0,50
9527,277.131,1742.9,0.0,50
9528,277.293,1742.49,0.0,50
9529,277.616,1741.67,0.0,50
9530,277.778,1741.26,0.0,50
9531,277.939,1740.85,0.0,50
9532,278.101,1740.43,0.0,50
9533,278.423,1739.61,0.0,50
9534,278.585,1739.2,0.0,50
9535,278.747,1738.79,0.0,50
9536,279.069,1737.96,0.0,50
9537,279.231,1737.55,0.0,50
9538,279.39099999999996,1737.14,0.0,50
9539,279.714,1736.31,0.0,50
9540,279.874,1735.9,0.0,50
9541,280.035,1735.49,0.0,50
9542,280.195,1735.08,0.0,50
9543,280.51599999999996,1734.25,0.0,50
9544,280.676,1733.84,0.0,50
9545,280.837,1733.43,0.0,50
9546,281.156,1732.61,0.0,50
9547,281.314,1732.19,0.0,50
9548,281.474,1731.78,0.0,50
9549,281.79200000000003,1730.96,0.0,50
9550,282.111,1730.13,0.0,50
9551,282.27,1729.72,0.0,50
9552,282.42900000000003,1729.31,0.0,50
9553,282.746,1728.49,0.0,50
9554,282.906,1728.07,0.0,50
9555,283.064,1727.66,0.0,50
9556,283.223,1727.25,0.0,50
9557,283.54,1726.42,0.0,50
9558,283.698,1726.01,0.0,50
9559,283.856,1725.6,0.0,50
9560,284.17400000000004,1724.78,0.0,50
9561,284.332,1724.37,0.0,50
9562,284.49,1723.95,0.0,50
9563,284.808,1723.13,0.0,50
9564,284.966,1722.71,0.0,50
9565,285.125,1722.3,0.0,50
9566,285.442,1721.47,0.0,50
9567,285.6,1721.06,0.0,50
9568,285.759,1720.65,0.0,50
9569,286.075,1719.82,0.0,50
9570,286.233,1719.41,0.0,50
9571,286.39099999999996,1719.0,0.0,50
9572,286.707,1718.17,0.0,50
9573,286.865,1717.76,0.0,50
9574,287.02299999999997,1717.35,0.0,50
9575,287.182,1716.93,0.0,50
9576,287.498,1716.11,0.0,50
9577,287.656,1715.69,0.0,50
9578,287.814,1715.28,0.0,50
9579,288.131,1714.46,0.0,50
9580,288.447,1713.63,0.0,50
9581,288.605,1713.22,0.0,50
9582,288.764,1712.8,0.0,50
9583,289.08099999999996,1711.98,0.0,50
9584,289.241,1711.57,0.0,50
9585,289.399,1711.15,0.0,50
9586,289.559,1710.74,0.0,50
9587,289.877,1709.91,0.0,50
